Species,%Cover
Anemone rupicola,8
Taraxacum ceratophorum,1
Astragalus rhizanthus,1
Heteropappus semiprostratus,6
Draba cachemirica,15
Rhodiola crenulata,7
Primula macrophylla,8
Saussurea leontodontoides,1
Nepeta discolor,3
Polygonum cognatum,4
Thermopsis inflata,10
Saussurea schultzii,3
Ranunculus jacquemontii,2
Polygonum paronychioides,0.5
Psychrogeton andryaloides,4
Cerastium cerastoides,1
Myosotis asiatica,4
Lindelofia anchusoides,3
Oxytropis tatarica,2
Koeleria sp.,4
Poa attenuata,1
Rhodiola tibetica,6
Carex supina,3
