Locality,"Mushko, Drass",,,
Date,10.08.2022,,,
Habitat,Scrub steppe,,,
Elevation,3175,,,
Latitude,34.4343,,,
Longitude,75.6932,,,
Species,#individuals,%Cover,FID,246_25_H2
Artemisia brevifolia,5,1,344,
Prangos pabularia,15,12,405,
Minuartia foliosa,30,7,406,
Silene moorcroftiana,33,8,407,
Polygonum paronychioides,26,8,408,
Astragalus oplites,12,6,,
Cicer microphylla,9,4,,
Psychrogeton andryaloides,10,6,,
Piptatherum gracile,16,8,,
Rosa webbiana,10,12,,
Eritrichum canum,6,1,,
Elymus cognatus,50,15,,
Medicago falcata,15,8,,
Euphorbia thomsoniana,7,2,,
