Locality,"Fokar phoo, Kargil",,
Date,24.06.2022,,
Habitat,Snowfield,,
Elevation,4448,,
Latitude,34.358534,,
Longitude,76.078732,,
Species,#individuals,%Cover,FID
Rhodiola tibetica ,,,446
Lloydia serotina,30,5,453
Heteropappus semiprostratus,25,12,452
Aster flaccidus,3,0.5,460
Bergenia stracheyi,15,4,447
Draba cachemirica,15,10,
Waldheimia vestita,7,4,
Bistorta affinis,20,10,
Pedicularis rhinanthoides,6,2,
Myosotis asiatica,25,10,
Saxifraga flagellaris,5,1,
Leontopodium monocephalum,10,5,
unid grass2,10,7,
Saussurea gnaphalodes,8,3,
