Species,#individuals,%Cover,FID,236_16
Ribes orientale,3,2,380,
Heracleum pinnatum,8,2,381,
Epilobium angustifolium,25,15,382,
Stachys tibetica,2,0.5,383,
Silene vulgaris,31,2,385,
Medicago falcata,115,30,,
Agrostis gigantea (g),80,15,,
Verbascum thapsus,2,0.5,,
Artemisia sieversiana,12,1,,
Melanoseris violifolia,26,5,,
Thymus linearis,10,1,,
Astragalus rhizanthus,3,0.5,,
Tanacetum gracile,2,0.5,,
Artemisia scoparia,8,1,,
Hordeum sp.,18,3,,
Astragalus cf. alpinus,7,1,,
Galium boreale,12,5,,
Fagopyrum tataricum,3,0.1,,
Erigeron annus,2,0.1,,
Neobrachyactis pubescens,4,0.5,,
Jurinea ceratocarpa,3,0.1,,
Convolvulus arvensis�,1,0.1,,
Rosa webbiana,2,5,,
