Species,#individuals,%Cover,FID,,
Gentianella moorcroftiana,30,6,410,,
Lotus corniculatus,10,2,411,,
Erigeron uniflorus,15,4,340,,
Agrostis gigantea,50,15,412,,
Delphinium cashmerianum,10,4,413,,
Phragmites australis,35,10,418,,
Bupleurum falcatum,12,3,416,,
Geranium himalayense,6,2,419,,
Silene vulgaris,20,4,415,,
Heracleum pinnatum,25,10,414,,
Aconitum heterophyllum,13,4
Euphrasia himalayica,45,5
Senecio korshinskyi,27,8
Nepeta podostachys,8,2
Oxytropis lapponica,60,10
Bupleurum candollei,10,2
Pedicularis punctata,55,12
Dolomiaea macrocephala,2,4
Kobresia schoenoides,5,1
Taraxacum officinale,35,7
Astragalus melanostachys,15,6
Elymus schrenkianus,10,3
Rumex acetosa,8,2
Galium boreale,15,4
Elymus canaliculatus,50,10
Bromus pectinatus,45,8
Echium plantagineum,5,1
Iris hookeriana,7,3
Potentilla multifida,6,1
Trifolium repens,40,5
