Species_name,#individuals,Cover_(%)
Lonicera_asperifolia,3,15
Hippophae_tibetana,11,30
Cicer_microphyllum,2,7
Aconogonon_tortuosum,2,6
Chenopodium_album,15,8
Lonicera_spinosa,1,5
Ephedra_geradiana,2,2
Elymus_schrenkianus_(g),9,4
Elymus_canaliculatus_(g),7,3
Calamagrostis_holciformis_(g),10,4
Arnebia_euchroma,5,6
Rosularia_alpestris,1,0.1
Oxytropis_microphylla,20,6
Gentiana_tianschanica,2,12
Salix_caesia,1,25
Pedicularis_bicornuta,1,2
Oxytropis_humifusa,4,2
Leontopodium_ochroleucum,6,2
Euphrasia_species,3,1
Psychrogeton_andryaloides,8,4


