Species,Cover_percent
Artemisia_salsoloides,5
Acantholimon_lycopodioides,5
Cotoneaster_affinis,4
Aconogonon_tortuosum,6
Arnebia_euchroma,5
Thalictrum_foetidum,1
Bistorta_affinis,5
Rheum_webbianum,3
Ephedra_intermedia,5
Rosa_webbiana,8
Minuartia_foliosa,1
Lonicera_asperifolia,2
Potentilla_saundersiana,1
Astragalus_strictus,0.5
Elymus_jacquemontii,12
Taraxacum_officinale,0.5
Sibbaldianthe_bifurca,0.5
Silene_moorcroftiana,5
Decalepidanthus_echioides,1
Hippolytia_senecionis,1
Poa_attenuata,10
Androsace_robusta,2
Elymus_dahuricus,8
Geranium_regelii,0.5
