Latitude_,34.051828,,,,,
Longitude,76.365256,,,,,
Elevation(m),3994,,,,,
Plot_ID,648,,,,,
Merged_IDs,,,650,652,654,656
Habitat,(Desert)_Steppe,,,,,
Date,26.07.2023,,,,,
Species,#individuals,Cover_(%),,,,
Delphinium_cashmerianum,2,1,,,,
Rheum_webbianum,5,5,,,,
Puccinellia_distans,,4,,,,
Arnebia_euchroma,5,6,,,,
Euphorbia_thomsoniana,5,8,,,,
Artemisia_brevifolia,5,5,,,,
Polygonum_rottboellioides,3,1,,,,
Nepeta_discolor,5,2,,,,
Acontholimon_lycopodiodes,1,5,,,,
Psychrogeton_andryaloides,3,1,,,,
Dianthus_anatolicus,6,2,,,,
Cicer_microphyllum,2,5,,,,
Heracleum_pinnatum,6,6,,,,
Scorzonera_virgata,2,2,,,,
Oxytropis_tatarica,4,3,,,,
Piptatherum_laterale_(g),,5,,,,
Elymus_schrenkianus_(g),,3,,,,
Lonicera_asperifolia,1,3,,,,
