Locality,Dzongkul Gompa Zanskar,,
Date,24.08.2021,,
Habitat,Scrub Steppe,,
Elevation,3815,,
Latitude,33.572773,,
Longitude,76.679963,,
Species,#individuals,%Cover,
Astragalus rhizanthus,3,1,FID
Lindelofia anchusoides,8,10,126
Thymus linearis,15,6,112
Rosa webbiana,5,12,111
Aconogonum tortuosum,20,20,113
Lonicera asperifolia,6,8,114
Cicer microphyllum,15,10,
Artemisia dracunculus,25,25,
Nepeta discolor,10,4,
Peptatherum laterale,30,12,
Oryzopsis sp,40,20,
Scorzonera virgata ,4,1,
Polygonum biaristatum,8,8,
