Species,individuals
Anemone_rupicola_unid,20
Taraxacum_ceratophorum,6
Astragalus_rhizanthus,5
Heteropappus_semiprostratus,15
Draba_cachemirica,25
Rhodiola_heterodonta,12
Primula_macrophylla_unid,16
Saussurea_unid,4
Nepeta_discolor,8
Polygonum_cognatum,18
Thermopsis_inflata,30
Saussurea_schultzii,6
Geranium_nepalense_unid,2
Ranunculus_unid,10
Polygonum_paronychioides,3
Psychrogeton_andryaloides,7
Cerastium_cerastoides,5
Myosotis_asiatica,12
Decalepidanthus_echioides,6
Oxytropis_tatarica,5
Koeleria_sp,8
Poa_attenuata,5
Rhodiola_tibetica,13
