Locality,"Kartse khar, Sankoo",,,
Date,18.07.2022,,,
Habitat,Dry Desert steppe,,,
Elevation,3076,,,
Latitude,34.2672,,,
Longitude,75.9899,,,
Species,#individuals,%Cover,FID,234_1_H1
Arnebia euchroma,8,5,431,
Artemisia brevifolia,17,12,449,
Stipa himalaica ,25,15,438,
Polygonum paronychioides ,6,4,440,
Matthiola chorassanica,5,2,432,
Thymus linearis,6,1,439,
Minuartia foliosa,4,1,,
Artemisia fragrans,8,4,,
Trigonella gracilis,10,4,,
Carex stenophylla,7,3,,
Lactuca orientalis,4,2,,
