Name of taxa,Family,Plant group,PresenceInData,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
Acantholimon_lycopodioides_(Girard) Boiss.,Plumbaginaceae,Angiosperm,0,Dicot,Shrub,NE,Perennial,"Drass, Zanaska
valley, Suru
valley,
Sheshithang,
Lalloung, Leh,
Chang La,
Pangong","6035-SAZ,
26772-
KASH",,
Acanthophyllum_sedifolium (Kurz)_Madhani & Zarre_*** (=Gypsophila_sedifolia Kurz),Caryophyllaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Drass,
Fatu La,
Budhkharbu,
Kargil","4843-SAZ,
19260-
KASH",,
Achillea millefolium_L.,Asteraceae,Angiosperm,0,Dicot,Herb,LC,Perennial,"Drass, Sankoo,
Kargil,
Panikhar","4578-SAZ,
28761-
KASH",,
Achnatherum_brandisii (Mez) Z. L._Wu (=Stipa brandisii_Mez),Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Kargil, Drass,
Sankoo,
Trespone,
Padum, Turtuk,
Pangong,","23712-
KASH,
6601-SAZ",,
Achnatherum_jacquemontii (Jaub._& Spach) P.C.Kuo_& S.L.Lu (=Stipa_jacquemontii Jaub. &_Spach),Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Leh, Khaltsi","15521-
KASH",,
Achnatherum_sibiricum (L.) Keng_ex Tzvelev (=Stipa_sibirica (L.) Lam.),Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Gumri, Drass,
Pandrass,
Matayan","44792-
KASH",,
Aconitum_heterophylloides_(BrÃ¼hl) Stapf_(=Aconitum_deinorrhizum Stapf),Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Nubra valley,
Zanaskar
valley, Drass,
Kargil",__,,
Aconitum_heterophyllum Wall._ex Royle,Ranunculaceae,Angiosperm,0,Dicot,Herb,EN,Perennial,"Sangrah,
Panikhar,
Drass,
Khardung La","4637-SAZ,
27950-
KASH",,1
Aconitum_kurramense Qureshi_& Chaudhri_(=Aconitum_violaceum Jacquem._ex Stapf var._robustum Stapf),Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass,
Pandrass,
Matayan,
Kargil","33403-
KASH",,
Aconitum_moschatum (Bruehl)_Stapf,Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Diskit, Nubra
valley",__,,
