Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Acantholimon_lycopodioides_(Girard)_Boiss.,Plumbaginaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Acanthophyllum_sedifolium_(Kurz)_Madhani_&_Zarre_***_(=Gypsophila_sedifolia_Kurz),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Achillea_millefolium_L.,Asteraceae,Angiosperm,Dicot,Herb,LC,Perennial
Achnatherum_brandisii_(Mez)_Z._L._Wu_(=Stipa_brandisii_Mez),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Achnatherum_jacquemontii_(Jaub._&_Spach)_P.C.Kuo_&_S.L.Lu_(=Stipa_jacquemontii_Jaub._&_Spach),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Achnatherum_sibiricum_(L.)_Keng_ex_Tzvelev_(=Stipa_sibirica_(L.)_Lam.),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Aconitum_heterophylloides_(BrÃ¼hl)_Stapf_(=Aconitum_deinorrhizum_Stapf),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aconitum_heterophyllum_Wall._ex_Royle,Ranunculaceae,Angiosperm,Dicot,Herb,EN,Perennial
Aconitum_kurramense_Qureshi_&_Chaudhri_(=Aconitum_violaceum_Jacquem._ex_Stapf_var._robustum_Stapf),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aconitum_moschatum_(Bruehl)_Stapf,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aconitum_rotundifolium_Kar._&_Kir.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aconitum_soongaricum_Stapf,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Biennial
Aconitum_violaceum_Jacquem._ex_Stapf,Ranunculaceae,Angiosperm,Dicot,Herb,vU,Perennial
Acroglochin_persicarioides_(Poir.)_Moq.,Amaranthaceae,Angiosperm,Dicot,Herb,LC,Annual
Actaea_cimicifuga_L._(=Cimicifuga_foetida_L),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Actinocarya_acaulis_(W.W.Sm.)_I.M.Johnst.,Boraginaceae,Angiosperm,Dicot,Herb,NE,Annual
Actinocarya_tibetica_Benth.,Boraginaceae,Angiosperm,Dicot,Herb,NE,Annual
Adonis_chrysocyathus_Hook._f._&_Thomson,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aesculus_indica_(Wall._ex_Cambess.)_Hook.,Sapindaceae,Angiosperm,Dicot,Tree,LC,Perennial
Agrimonia_pilosa_Ledeb._var._pilosa_Ledeb._(=Agrimonia_pilosa_Kitam._subsp._japonica_(Miq.)_H.Hara),Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
Agropyron_thomsonii_Hook.f.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Agrostis_castellana_Boiss._&_Reut._(=Agrostis_vinealis_Schreb.),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Agrostis_filipes_Hook.f.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Agrostis_gigantea_Roth,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Agrostis_munroana_Aitch._&_Hemsl.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Agrostis_pilosula_Trin.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Agrostis_stolonifera_L._(=Agrostis_diluta_Kurczenko),Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Ajania_fruticulosa_(Ledeb.)_Poljakov_(=Tanacetum_fruticulosum_Ledeb),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Ajania_gracilis_(Hook.f._&_Thomson)_Poljakov_(=Tanacetum_gracile_Hook.f._&_Thomson),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
"Ajania_tibetica_(Hook.f._&_Thomson)_Tzvelev_(=Tanacetum_tibeticum_Hook._f_&_Thomson_ex_C.B.Clarke,_Chrysanthemum_tibeticum_Hook._f._&_Thomson_ex_C.B.Clarke.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Alcea_rosea_L.,Malvaceae,Angiosperm,Dicot,Herb,NE,Annual
Alisma_plantago-_aquatica_L.,Alismataceae,Angiosperm,Monocot,Herb,LC,Perennial
Allardia_glabra_Decne._(=Waldheimia_glabra_(Decne.)_Regel),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allardia_huegelii_Sch.Bip._(=Waldheimia_huegelii_(Sch.Bip.)_Tzvelev),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allardia_nivea_Hook.f._&_Thomson_ex_C.B.Clarke_(=Waldheimia_nivea_(Hook.f._&_Thomson_ex_C.B.Clarke)_Regel),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allardia_stoliczkai_C.B.Clarke_(=Waldheimia_stoliczkai_(Clarke)_Ostenf.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allardia_tomentosa_Decne._(=Waldheimia_tomentosa_Regel),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allardia_tridactylites_Sch._Bip._(=Waldheimia_tridactylites_Kar._&_Kir.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allardia_vestita_Hook.f._&_Thomson_ex_C.B.Clarke_(=Waldheimia_vestita_(Hook.f._&_Thomson_ex_C.B.Clarke)_Pamp.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allium_atrosanguineum_Schrenk_var._fedschenkoanum_(Regel)_G.H.Zhu_&_Turland_(=Allium_fedtschenkoanum_Regel),Amaryllidaceae,Angiosperm,Monocot,Herb,LC,Perennial
Allium_auriculatum_Kunth,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_caesioides_Wendelbo,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_carolinianum_DC._(=Allium_thomsonii_Baker),Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_cepa_L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Annual
Allium_consanguineum_Kunth,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_fistulosum_L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_humile_Kunth,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_jacquemontii_Kunth,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_loratum_Baker,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_oreoprasum_Schrenk,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_platyspathum_Schrenk,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_przewalskianum_Regel_(=Allium_stoliczkii_Regel),Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_ramosum_L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_roylei_Stearn,Amaryllidaceae,Angiosperm,Monocot,Herb,NT,Perennial
Allium_rubellum_M.Bieb.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_sativum_L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
