Species_name,#individuals,Cover_(%)
Thalictrum_foetidum,15,12
Allium_carolinianum,12,12
Bistorta_affinis,2,4
Epilobium_angustifolium,8,10
Nepeta_discolor,5,5
Ephedra_geradiana,10,8
Saxifraga_flagellaris,6,3
Androsace_robusta,7,5
Aster_flaccidus,5,4
Pedicularis_bicornuta,2,2
Thymus_linearis,15,7
Potentiila_saundersiana_,9,7
Scorzonera_virgata,5,3
Rheum_webbianum,3,2
Arnebia_euchroma,12,15
Salix_karelinii,1,5
Rosularia_alpestris,2,2
Astragalus_thomsonii,8,6
Astragalus_tibetanus,7,6
Geranium_regelii,10,8
Piptatherum_gracile_(g),30,15
Delphinium_cashmerianum,5,3
Artemisia_brevifolia,4,2
