FID-Species,566_1,566_3,Aconitum_heterophyllum,Aconitum_rotundifolium,Aconitum_violaceum,Aconogonon_tortuosum,Acontholimon_lycopodioides,Agrostis_gigantea_(g),Agrostis_gigantea_(g)5,Allium_carolinianum,Allium_oreoprasum,Allium_przewalskianum,Allium_sp_(unique),Anaphalis_nubigena,Anaphalis_virgata,Androsace_robusta,Anemone_rupicola,Aquilegia_fragrans,Aquilegia_moorcroftiana,Arenaria_serpyllifolia,Argentina_anserina,Arnebia_euchroma,Artemisia_brevifolia,Artemisia_dracunculus,Artemisia_fragrans,Artemisia_kargilensis,Artemisia_minor,Artemisia_moorcroftiana,Artemisia_salsoloides,Artemisia_santolinifolia,Askellia_flexuosa,Aster_flaccidus,Astragalus_candolleanus,Astragalus_hoffmeisteri,Astragalus_melanostachys,Astragalus_nivalis,Astragalus_oplites,Astragalus_rhizanthus,Astragalus_sp,Astragalus_strictus,Astragalus_thomsonii,Astragalus_tibetanus,Axyris_hybrida,Bistorta_affinis,Bistorta_vivipara,Blysmus_compressus_(s),Bothriochloa_ischaemum_(g),Brachyactis_pubescens,Brachyactis_roylei,Bromus_pectinatus_(g),Calamagrostis_holciformis_(g),Calamagrostis_pseudophragmites_(g),Campanula_pallida_var_tibetica,Caragana_versicolor,Carduus_nutans,Carex_melanantha_(s),Carex_orbicularis_(s),Carex_pamirensis_(s),Carex_pseudofoetida_(s),Carex_sp_UNID_(g),Carex_stenocarpa_(s),Cerastium_cerastoides,Cerastium_fontanum,Chenopodium_album,Chesneya_cuneata,Chorispora_sabulosa,Christolea_crassifolia,Cicer_microphyllum,Circium_arvense,Codonopsis_clematidea,Conioselinum_vaginatum,Corydalis_flabellata,Cotoneaster_affinis,Cousinia_thomsonii,Cremanthodium_ellisii,Crucihimalaya_mollissima,Cuscuta_europaea,Dactylorhiza_hatagirea,Dasiphora_dryadanthoides,Delphinium_brunonianum,Delphinium_cashmerianum,Dianthus_anatolicus,Dontostemon_glandulosus,Draba_cachemirica,Draba_setosa,Draba_sp,Elymus_canaliculatus_(g),Elymus_dahuricus_(g),Elymus_jacquemontii_(g),Elymus_nutans_(g),Elymus_repens_(g),Elymus_schrenkianus_(g),Elymus_schugnanicus_(g),Elymus_sp_(g),Ephedra_geradiana,Ephedra_intermedia,Epilobium_angustifolium,Epilobium_latifolium,Equisetum_diffusum,Equisetum_ramosissimum,Erigeron_multiradiatus,Eritrichium_spathulatum,Eritrichium_villosum,Euphorbia_thomsoniana,Euphorbia_tibetica,Euphrasia_himalayica,Euphrasia_officinalis,Euphrasia_sp,Fagopyrum_esculentum,Farinopsis_salesoviana,Ferula_jaeschkeana,Festuca_kashmiriana_(g),Festuca_nitidula_(g),Galium_boreale,Gentiana_burkillii,Gentiana_leucomelaena,Gentiana_squarrosa,Gentiana_tianschanica,Gentianella_moorcroftiana,Gentianopsis_paludosa,Geranium_himalayense,Geranium_regelii,Gypsophila_sedifolia,Haloxylon_thomsonii,Heracleum_pinnatum,Hippolytia_senecionis,Hippophae_rhamnoides,Hippophae_tibetana,Hylotelephium_ewersii,Impatiens_brachycentra,Inula_koelzii,Inula_rhizocephala,Iris_hookeriana,Jacobaea_nudicaulis,Juniperus_semiglobosa,Kobresia_karakorumensis_(s),Kobresia_myosuroides_(s),Kobresia_orbicularis_(s),Kobresia_royleana_(s),Kobresia_schoenoides_(s),Koeleria_macrantha,Koenigia_rumicifolia,Krascheninnikovia_ceratoides,Lactuca_orientalis,Lamium_amplexicaule,Leontopodium_alpinum,Leontopodium_brachyactis,Leontopodium_himalayanum,Leontopodium_ochroleucum,Leontopodium_souliei,Lepidium_latifolium,Lepyrodiclis_holosteoides,Leymus_secalinus_(g),Lindelofia_anchusoides,Lindelofia_stylosa,Lomatogonium_carinthiacum,Lonicera_asperifolia,Lonicera_microphylla,Lonicera_semenovii,Lonicera_spinosa,Lotus_corniculatus,Matthiola_chorassanica,Meconopsis_aculeata,Medicago_falcata,Medicago_lupulina,Medicago_varia,Melica_persica_(g),Minuartia_foliosa,Morina_coulteriana,Myosotis_asiatica,Myricaria_germanica,Nepeta_discolor,Nepeta_floccosa,Nepeta_glutinosa,Nepeta_leucolaena,Nepeta_podostachys,Oxytropis_glabra,Oxytropis_humifusa,Oxytropis_hypoglottoides,Oxytropis_microphylla,Oxytropis_sp,Oxytropis_tatarica,Pedicularis_bicornuta,Pedicularis_punctata,Pedicularis_rhinanthoides,Pennisetum_flaccidum_(g),Piptatherum_gracile_(g),Piptatherum_laterale_(g),Plantago_depressa,Plantago_himalaica,Plantago_lanceolata,Pleurospermum_candollei,Pleurospermum_sp,Poa_alpina_(g),Poa_attenuata_(g),Poa_attenuata_(g)35,Podophyllum_hexandrum,Polygonum_biaristatum,Polygonum_cognatum,Polygonum_paronychioides,Polygonum_polycnemoides,Polygonum_rottboellioides,Potentiila_saundersiana,Potentilla_atrosanguinea_var_argyrophylla,Potentilla_desertorum,Potentilla_multifida,Potentilla_pamirica,Potentilla_saundersiana,Potentilla_sojakii,Prangos_pabularia,Primula_minutissima,Primula_pamirica,Psychrogeton_andryaloides,Psychrogeton_andryaloides_var_poncinsii,Puccinellia_distans,Ranunculus_longicaulis,Ranunculus_pulchellus,Rhamnus_prostrata,Rheum_spiciforme,Rheum_webbianum,Rhodiola_crenulata,Rhodiola_heterodonta,Rhodiola_pamiroalaica,Rhodiola_tibetica,Rhodiola_wallichiana,Ribes_himalense_var_verruculosum,Ribes_orientale,Richteria_pyrethroides,Rosa_webbiana,Rosularia_alpestris,Rubia_tibetica,Rubia_tinctorum,Rumex_nepalensis,Rumex_patientia,Salix_caesia,Salix_flabellaris,Salix_karelinii,Salix_pycnostachya,Salix_sericocarpa,Salsola_collina,Salsola_tragus,Saussurea_gnaphlodes,Saussurea_jacea,Saussurea_schultzii,Saxifraga_flagellaris,Saxifraga_meeboldi,Scophularia_koelzii,Scopolia_lurida,Scorzonera_virgata,Scrophularia_dentata,Scrophularia_koelzii,Semenovia_lasiocarpa,Senecio_chrysanthemoides,Senecio_korshinskyi,Sibbaldia_cuneata,Sibbaldianthe_bifurca,Silene_caespitella,Silene_moorcroftiana,Silene_rechingeri,Silene_vulgaris,Sisymbrium_brassiciforme,Smenovia_lasiocarpa,Solenanthus_circinatus_Ledeb.,Stachys_tibetica,Stipa_caucasica_(g),Stipa_himalaica_(g),Stipa_purpurea_(g),Stipa_splendens_(g),Tanacetum_artemisioides,Tanacetum_fruticulosum,Tanacetum_tibeticum,Taraxacum_officinale,Thalictrum_alpinum,Thalictrum_foetidum,Thermopsis_inflata,Thesium_hookeri,Thymus_linearis,Trichophorum_pumilum_(s),Trifolium_pratense,Triglochin_maritima,Trisetum_spicatum_(g),Tulipa_stellata,unid_634,Verbascum_thapsus,Waldheimia_tomentosa
FID_486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FID_511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
