#############FID_486.csv##################
Species,individuals_freq,Cover_percentage
Taraxacum_officinale,35,7
Dactylorhiza_hatagirea,50,10
Gentiana_leucomelaena,80,12
Gentiana_burkillii,10,3
Bistorta_vivipara,30,10
Kobresia_karakorumensis_(s),25,15
Kobresia_myosuroides_(s),15,8
Carex_orbicularis_(s),75,20
Triglochin_maritima,5,3
Lamium_amplexicaule,1,1
Potentilla_multifida,10,5
Sibbaldianthe_bifurca,25,8
Salix_sericocarpa,2,5
Inula_rhizocephala,2,2
#############FID_489.csv##################
Species,individuals_freq,Cover_percentage
Tulipa_stellata,100,50
Acontholimon_lycopodioides,1,2
Polygonum_biaristatum,10,3
Lindelofia_stylosa,5,4
Prangos_pabularia,5,8
Solenanthus_circinatus_Ledeb.,2,4
#############FID_492.csv##################
Species,individuals_freq,Cover_percentage
Prangos_pabularia,25,35
Artemisia_brevifolia,70,30
Lindelofia_stylosa,4,5
Rosa_webbiana,1,3
Ferula_jaeschkeana,3,3
Chorispora_sabulosa,2,1
Polygonum_polycnemoides,3,2
#############FID_494.csv##################
Species,individuals_freq,Cover_percentage
Ribes_himalense_var_verruculosum,1,2
Nepeta_glutinosa,22,12
Rubia_tinctorum,3,1
Brachyactis_roylei,2,1
Artemisia_salsoloides,2,1
Piptatherum_laterale_(g),8,2
Lonicera_spinosa,1,5
Astragalus_oplites,5,5
Rhamnus_prostrata,1,3
Elymus_schrenkianus_(g),1,1
Artemisia_brevifolia,20,8
Sisymbrium_brassiciforme,5,2
#############FID_495.csv##################
Species,individuals_freq,Cover_percentage
Nepeta_glutinosa,1,3
Astragalus_rhizanthus,6,5
Silene_rechingeri,20,10
Semenovia_lasiocarpa,1,4
Artemisia_dracunculus,1,3
Rosa_webbiana,1,5
Polygonum_paronychioides,7,2
Lindelofia_anchusoides,2,2
Silene_rechingeri,15,5
#############FID_496.csv##################
Species,individuals_freq,Cover_percentage
Astragalus_oplites,25,50
Polygonum_paronychioides,10,15
Scorzonera_virgata,5,3
Lindelofia_stylosa,1,5
Carex_stenocarpa_(s),30,20
Polygonum_biaristatum,1,1
Elymus_sp_(g),5,1
#############FID_503.csv##################
Species,individuals_freq,Cover_percentage
Leontopodium_himalayanum,10,7
Rheum_webbianum,10,15
Potentilla_sojakii,6,12
Aconogonon_tortuosum,2,4
Nepeta_discolor,10,10
Poa_attenuata_(g),60,45
Kobresia_schoenoides_(s),15,10
Rhodiola_heterodonta,3,5
Stipa_purpurea_(g),50,40
Astragalus_oplites,1,5
Bistorta_affinis,10,40
