Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Acantholimon
lycopodioides
(Girard) Boiss.",Plumbaginaceae,Angiosperm,Dicot,Shrub,NE,Perennial,"Drass, Zanaska
valley, Suru
valley,
Sheshithang,
Lalloung, Leh,
Chang La,
Pangong","6035-SAZ,
26772-
KASH",,,
"Acanthophyllum
sedifolium (Kurz)
Madhani & Zarre
*** (=Gypsophila
sedifolia Kurz)",Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Drass,
Fatu La,
Budhkharbu,
Kargil","4843-SAZ,
19260-
KASH",,,
"Achillea millefolium
L.",Asteraceae,Angiosperm,Dicot,Herb,LC,Perennial,"Drass, Sankoo,
Kargil,
Panikhar","4578-SAZ,
28761-
KASH",,,
"Achnatherum
brandisii (Mez) Z. L.
Wu (=Stipa brandisii
Mez)",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Kargil, Drass,
Sankoo,
Trespone,
Padum, Turtuk,
Pangong,","23712-
KASH,
6601-SAZ",,,
"Achnatherum
jacquemontii (Jaub.
& Spach) P.C.Kuo
& S.L.Lu (=Stipa
jacquemontii Jaub. &
Spach)",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Leh, Khaltsi","15521-
KASH",,,
"Achnatherum
sibiricum (L.) Keng
ex Tzvelev (=Stipa
sibirica (L.) Lam.)",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Gumri, Drass,
Pandrass,
Matayan","44792-
KASH",,,
"Aconitum
heterophylloides
(Brühl) Stapf
(=Aconitum
deinorrhizum Stapf)",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Nubra valley,
Zanaskar
valley, Drass,
Kargil",__,,,
"Aconitum
heterophyllum Wall.
ex Royle",Ranunculaceae,Angiosperm,Dicot,Herb,EN,Perennial,"Sangrah,
Panikhar,
Drass,
Khardung La","4637-SAZ,
27950-
KASH",,,1
"Aconitum
kurramense Qureshi
& Chaudhri
(=Aconitum
violaceum Jacquem.
ex Stapf var.
robustum Stapf)",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass,
Pandrass,
Matayan,
Kargil","33403-
KASH",,,
"Aconitum
moschatum (Bruehl)
Stapf",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Diskit, Nubra
valley",__,,,
"Aconitum
rotundifolium Kar.
& Kir.",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley,
Rangdum","29785-
KASH",,,
"Aconitum
soongaricum Stapf",Ranunculaceae,Angiosperm,Dicot,Herb,NE,Biennial,"Kargil, Batalik",__,,,
