###################### CLEANED#FID_642.csv ######################
                     Species  #individuals  Cover_(%)
0           Arnebia_euchroma           4.0          5
1         Aconogon_tortuosum           1.0          2
2          Ephedra_geradiana           7.0          8
3       Geranium_himalayense          12.0          6
4           Bistorta_affinis          10.0          5
5            Nepeta_discolor           6.0          4
6            Rheum_webbianum           4.0          3
7         Silene_caespitella           5.0          4
8    Epilobium_angustifolium           5.0          8
9    Potentilla_saundersiana           6.0          4
10       Cotoneaster_affinis           1.0          3
11          Oxytropis_glabra           4.0          1
12        Lindelofia_stylosa           3.0          4
13  Elymus_canaliculatus_(g)           5.0          5
###################### CLEANED#FID_643.csv ######################
                     Species  #individuals  Cover_(%)
0        Caragana_versicolor             8         15
1           Nepeta_glutinosa             2          4
2  Psychrogeton_andryaloides             4          4
3           Lonicera_spinosa             1          3
4         Ephedra_intermedia             1          2
5       Potentilla_multifida             5          5
6          Atragalus_oplites             5          6
###################### CLEANED#FID_648.csv ######################
                      Species  #individuals  Cover_(%)
0     Delphinium_cashmerianum           2.0          1
1             Rheum_webbianum           5.0          5
2         Puccinellia_distans           4.0          4
3            Arnebia_euchroma           5.0          6
4       Euphorbia_thomsoniana           5.0          8
5        Artemisia_brevifolia           5.0          5
6   Polygonum_rottboellioides           3.0          1
7             Nepeta_discolor           5.0          2
8   Acontholimon_lycopodiodes           1.0          5
9   Psychrogeton_andryaloides           3.0          1
10        Dianthus_anatolicus           6.0          2
11         Cicer_microphyllum           2.0          5
12         Heracleum_pinnatum           6.0          6
13         Scorzonera_virgata           2.0          2
14         Oxytropis_tatarica           4.0          3
15   Piptatherum_laterale_(g)           5.0          5
16    Elymus_schrenkianus_(g)           3.0          3
17       Lonicera_asperifolia           1.0          3
