MySpecies,Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Acantholimon_lycopodioides,Acantholimon_lycopodioides_(Girard)_Boiss.,Plumbaginaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Gypsophila_sedifolia,Acanthophyllum_sedifolium_(Kurz)_Madhani_&_Zarre_***_(=Gypsophila_sedifolia_Kurz),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aconitum_violaceum,Aconitum_kurramense_Qureshi_&_Chaudhri_(=Aconitum_violaceum_Jacquem._ex_Stapf_var._robustum_Stapf),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aconitum_violaceum,Aconitum_violaceum_Jacquem._ex_Stapf,Ranunculaceae,Angiosperm,Dicot,Herb,vU,Perennial
Aconitum_heterophyllum,Aconitum_heterophyllum_Wall._ex_Royle,Ranunculaceae,Angiosperm,Dicot,Herb,EN,Perennial
Aconitum_rotundifolium,Aconitum_rotundifolium_Kar._&_Kir.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Tanacetum_fruticulosum,Ajania_fruticulosa_(Ledeb.)_Poljakov_(=Tanacetum_fruticulosum_Ledeb),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Tanacetum_tibeticum,"Ajania_tibetica_(Hook.f._&_Thomson)_Tzvelev_(=Tanacetum_tibeticum_Hook._f_&_Thomson_ex_C.B.Clarke,_Chrysanthemum_tibeticum_Hook._f._&_Thomson_ex_C.B.Clarke.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Waldheimia_tomentosa,Allardia_tomentosa_Decne._(=Waldheimia_tomentosa_Regel),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Allium_carolinianum,Allium_carolinianum_DC._(=Allium_thomsonii_Baker),Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_oreoprasum,Allium_oreoprasum_Schrenk,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_przewalskianum,Allium_przewalskianum_Regel_(=Allium_stoliczkii_Regel),Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Anaphalis_nubigena,"Anaphalis_nepalensis_(Spreng.)_Hand.-_Mazz._var._nepalensis_(=Anaphalis_cuneifolia_Hook.f.,_Anaphalis_nubigena_DC.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Anaphalis_virgata,Anaphalis_virgata_Thomson,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Androsace_robusta,"Androsace_jacquemontii_Duby_var._robusta_(R.Knuth)_Govaerts_(=Androsace_robusta_(R.Knuth)_Hand.-_Mazz.,_Androsace_villosa_Jacq._var._robusta_R.Knuth)",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aquilegia_fragrans,Aquilegia_fragrans_Benth.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aquilegia_moorcroftiana,Aquilegia_moorcroftiana_Wall._Ex_Royle,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Arenaria_serpyllifolia,Arenaria_serpyllifolia_L.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Arenaria_serpyllifolia,Arenaria_serpyllifolia_L._subsp._leptoclados_(Rchb.)_Nyman_(=Arenaria_leptoclados_Boiss.),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
